"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//domain/917","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us/sepac","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9644","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us/domain/66","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us/Page/2977","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9181","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9786","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9863","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9753","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9795","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10536","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/9724","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2144","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10106","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/6171","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10600","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/3325","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10628","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/58","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10497","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10497","https://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/1680","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10626","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2968","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2972","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7492","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/10540","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7511","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/2977","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/3118","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
"Duxbury Public Schools","MA","412322","https://www.duxbury.k12.ma.us//Page/7474","http://www.cleargov.com/massachusetts/school/duxbury/2015","Link","2900"
